Differences in Semantics of ZAI and ZHENGZAI,,,,,
Verbs,Situation Type,ZAI,ZHENGZAI,[+Durative/-Durative],[+Dynamic/-Dynamic]
呼唤我的名字,Activity,1,0,[+Durative],[+Dynamic]
呼唤一个人的名字,Activity,1,0,[+Durative],[+Dynamic]
呼唤一种“令行禁止”的企业作风,Activity,1,0,[+Durative],[+Dynamic]
呼吸,Activity,2,0,[+Durative],[+Dynamic]
希望这个陌生的女孩子，能够参加到他们的行列里面,State,1,0,[+Durative],[-Dynamic]
互相帮助,Activity,1,0,[+Durative],[+Dynamic]
花,Activity,1,0,[+Durative],[+Dynamic]
化,Transition,1,0,[+Durative],[+Dynamic]
化脓,Transition,0,1,[+Durative],[+Dynamic]
化雪,Transition,1,1,[+Durative],[+Dynamic]
化妆,Activity,2,0,[+Durative],[+Dynamic]
化装,Activity,1,0,[+Durative],[+Dynamic]
划出厚黑区域,Transition,0,1,[+Durative],[+Dynamic]
划船,Activity,2,0,[+Durative],[+Dynamic]
画,Activity,2,1,[+Durative],[+Dynamic]
画“北京人”,Activity,0,1,[+Durative],[+Dynamic]
画“冻伤实验”,Activity,1,0,[+Durative],[+Dynamic]
画画,Activity,1,0,[+Durative],[+Dynamic]
画袈裟,Activity,1,0,[+Durative],[+Dynamic]
画漫画,Activity,1,0,[+Durative],[+Dynamic]
画什么,Activity,1,0,[+Durative],[+Dynamic]
画图样,Activity,1,0,[+Durative],[+Dynamic]
画椭圆形的展开图,Activity,0,1,[+Durative],[+Dynamic]
画一个方形的圆圈,Activity,2,0,[+Durative],[+Dynamic]
画最新最美的画图,Activity,1,0,[+Durative],[+Dynamic]
怀念死去的付老爷,Activity,1,0,[+Durative],[+Dynamic]
怀念她,Activity,1,0,[+Durative],[+Dynamic]
怀念周总理,Activity,1,0,[+Durative],[+Dynamic]
怀念主人消失的肉体,Activity,1,0,[+Durative],[+Dynamic]
指望她邀请他明天去帮忙一样,State,1,0,[+Durative],[-Dynamic]
仇恨他,State,1,0,[+Durative],[-Dynamic]
恨他,State,1,0,[+Durative],[-Dynamic]
恨我,State,1,0,[+Durative],[-Dynamic]
欢迎和乌云一道降临的薄暮,Activity,1,0,[+Durative],[+Dynamic]
欢迎他回来,Activity,1,0,[+Durative],[+Dynamic]
欢迎我们,Activity,1,0,[+Durative],[+Dynamic]
幻想从战争中去寻找逃出危机的道路,Activity,0,1,[+Durative],[+Dynamic]
幻想著自己,Activity,1,0,[+Durative],[+Dynamic]
换,Activity,0,1,[+Durative],[+Dynamic]
换钱,Activity,1,0,[+Durative],[+Dynamic]
换土,Activity,0,1,[+Durative],[+Dynamic]
换药,Activity,0,1,[+Durative],[+Dynamic]
换衣服,Activity,1,1,[+Durative],[+Dynamic]
换装,Activity,1,0,[+Durative],[+Dynamic]
换桌围椅垫,Activity,1,0,[+Durative],[+Dynamic]
换自来水管,Activity,1,0,[+Durative],[+Dynamic]
晃动,Activity,10,1,[+Durative],[+Dynamic]
恢复,Transition,5,1,[+Durative],[+Dynamic]
恢复发展,Transition,1,2,[+Durative],[+Dynamic]
恢复技术职称、建立技术责任制,Transition,1,0,[+Durative],[+Dynamic]
恢复稳定,Transition,0,1,[+Durative],[+Dynamic]
恢复正常,Transition,0,1,[+Durative],[+Dynamic]
恢复正常秩序,Transition,0,1,[+Durative],[+Dynamic]
回答,Activity,5,0,[+Durative],[+Dynamic]
回答别人的询问,Activity,1,0,[+Durative],[+Dynamic]
回答党所提出的一个问题,Activity,1,0,[+Durative],[+Dynamic]
回答李宗仁的问话,Activity,1,0,[+Durative],[+Dynamic]
回答琴,Activity,1,0,[+Durative],[+Dynamic]
回答琴的问话,Activity,0,1,[+Durative],[+Dynamic]
回答他,Activity,1,1,[+Durative],[+Dynamic]
回答她,Activity,2,1,[+Durative],[+Dynamic]
回答她的祝愿,Activity,1,0,[+Durative],[+Dynamic]
回头看我,Activity,1,0,[+Durative],[+Dynamic]
回忆,Activity,4,0,[+Durative],[+Dynamic]
回忆过去,Activity,1,0,[+Durative],[+Dynamic]
回忆过去的生活,Activity,3,0,[+Durative],[+Dynamic]
回忆黄因明所说的梁刚夫和秋敏的秘密事件,Activity,1,0,[+Durative],[+Dynamic]
回忆那些内容,Activity,1,0,[+Durative],[+Dynamic]
回忆你们如花似锦的童年,Activity,1,0,[+Durative],[+Dynamic]
回忆往事,Activity,1,0,[+Durative],[+Dynamic]
昏迷,Activity,2,0,[+Durative],[+Dynamic]
混,Activity,1,0,[+Durative],[+Dynamic]
混日子,Activity,1,0,[+Durative],[+Dynamic]
爱护孩子,State,1,0,[+Durative],[-Dynamic]
保留实力,State,1,0,[+Durative],[-Dynamic]
活动,Activity,15,5,[+Durative],[+Dynamic]
保证,State,2,0,[+Durative],[-Dynamic]
获得,Transition,0,1,[-Durative],[+Dynamic]
获得多数支持,Transition,0,1,[-Durative],[+Dynamic]
获得解决,Transition,0,1,[-Durative],[+Dynamic]
获得进展,Transition,0,1,[-Durative],[+Dynamic]
获得适当解决,Transition,0,1,[-Durative],[+Dynamic]
积累,Activity,1,0,[+Durative],[+Dynamic]
集合,Activity,1,0,[+Durative],[+Dynamic]
集中,Transition,1,0,[+Durative],[+Dynamic]
集中大部分利润于产业贤米家之毛,Transition,1,0,[+Durative],[+Dynamic]
保证青藏公路祖国的血脉畅通,State,1,0,[+Durative],[-Dynamic]
比喻它的精神,State,1,0,[+Durative],[-Dynamic]
挤,Activity,1,1,[+Durative],[+Dynamic]
挤进视线,Transition,1,0,[+Durative],[+Dynamic]
挤奶,Activity,0,1,[+Durative],[+Dynamic]
计划,Activity,0,2,[+Durative],[+Dynamic]
计划采伐,Activity,0,1,[+Durative],[+Dynamic]
计划开展这里的群众工作,Activity,0,1,[+Durative],[+Dynamic]
计划扩大业务范围,Activity,1,0,[+Durative],[+Dynamic]
计划有重点地有步骤地建立少年儿童队,Activity,1,0,[+Durative],[+Dynamic]
计算,Activity,0,1,[+Durative],[+Dynamic]
计算谁来看我,Activity,1,0,[+Durative],[+Dynamic]
计算什么,Activity,2,0,[+Durative],[+Dynamic]
计算怎样”教训”那野马似的多多头,Activity,1,0,[+Durative],[+Dynamic]
记,Activity,1,0,[+Durative],[+Dynamic]
纪念孙总理,Activity,1,0,[+Durative],[+Dynamic]
纪念我,Activity,1,0,[+Durative],[+Dynamic]
加班,Activity,2,0,[+Durative],[+Dynamic]
加班工作,Activity,1,1,[+Durative],[+Dynamic]
加木柴,Activity,0,1,[+Durative],[+Dynamic]
加强,Transition,11,5,[-Durative],[+Dynamic]
加强对老挝的控制,Transition,1,0,[-Durative],[+Dynamic]
加强反腐力度,Transition,1,0,[-Durative],[+Dynamic]
加强海军,Transition,0,1,[-Durative],[+Dynamic]
"加强合作,相互协商",Transition,0,1,[-Durative],[+Dynamic]
加强军事进攻力量,Transition,0,1,[-Durative],[+Dynamic]
加强控制,Transition,1,0,[-Durative],[+Dynamic]
加强美国在近东的地位,Transition,1,0,[-Durative],[+Dynamic]
加强他们的阵地,Transition,1,0,[-Durative],[+Dynamic]
加强团结,Transition,1,0,[-Durative],[+Dynamic]
加速,Activity,2,0,[+Durative],[+Dynamic]
加速调整升级,Activity,0,1,[+Durative],[+Dynamic]
加速发展,Activity,1,0,[+Durative],[+Dynamic]
加速复活日本军国主义,Activity,1,0,[+Durative],[+Dynamic]
加速建设,Activity,0,1,[+Durative],[+Dynamic]
加速蒋介石和傅作义的灭亡,Activity,0,1,[+Durative],[+Dynamic]
加速进行,Activity,1,0,[+Durative],[+Dynamic]
加速扩散,Activity,0,1,[+Durative],[+Dynamic]
加速落地,Activity,0,1,[+Durative],[+Dynamic]
加速释放,Activity,0,1,[+Durative],[+Dynamic]
加速提质,Activity,0,1,[+Durative],[+Dynamic]
加速兴建,Activity,0,1,[+Durative],[+Dynamic]
加速修建拖拉机站,Activity,0,1,[+Durative],[+Dynamic]
加速修建一个雷达基地,Activity,0,1,[+Durative],[+Dynamic]
加以解决,State,0,1,[+Durative],[-Dynamic]
加以克服,State,0,1,[+Durative],[-Dynamic]
加以仔细研究,State,0,1,[+Durative],[-Dynamic]
加以重建与恢复,State,0,1,[+Durative],[-Dynamic]
加长,Activity,0,1,[+Durative],[+Dynamic]
加重,Activity,2,0,[+Durative],[+Dynamic]
加重全球普通消费者的负担,Activity,0,1,[+Durative],[+Dynamic]
鄙夷他,State,1,0,[+Durative],[-Dynamic]
打算,State,2,0,[+Durative],[-Dynamic]
打算另想法子,State,1,0,[+Durative],[-Dynamic]
打算落笔的辞句,State,0,1,[+Durative],[-Dynamic]
打算去,State,0,1,[+Durative],[-Dynamic]
打算使德国成为新战争的温床,State,1,0,[+Durative],[-Dynamic]
坚强战斗,Activity,1,0,[+Durative],[+Dynamic]
监督和观察演员们,Activity,1,0,[+Durative],[+Dynamic]
监视,Activity,0,1,[+Durative],[+Dynamic]
监视敌情,Activity,0,1,[+Durative],[+Dynamic]
监视东北方,Activity,0,1,[+Durative],[+Dynamic]
煎鱼,Activity,0,1,[+Durative],[+Dynamic]
捡鸭蛋,Activity,0,1,[+Durative],[+Dynamic]
检查产品质量,Activity,0,1,[+Durative],[+Dynamic]
检查发电设备运行情况,Activity,1,0,[+Durative],[+Dynamic]
检查缴获的制假设备,Activity,1,0,[+Durative],[+Dynamic]
检查螺撑是否漏水,Activity,0,1,[+Durative],[+Dynamic]
检查每一个要过江的人,Activity,1,0,[+Durative],[+Dynamic]
检查群众纪律,Activity,1,0,[+Durative],[+Dynamic]
检查身体和进行治疗,Activity,0,1,[+Durative],[+Dynamic]
减少,Transition,15,1,[+Durative],[+Dynamic]
减少包装垃圾,Transition,1,0,[+Durative],[+Dynamic]
减税,Activity,1,0,[+Durative],[+Dynamic]
减速,Activity,1,1,[+Durative],[+Dynamic]
减速慢行,Activity,1,0,[+Durative],[+Dynamic]
剪“北京人”的影子,Activity,1,0,[+Durative],[+Dynamic]
剪整齐,Transition,0,1,[-Durative],[+Dynamic]
剪枝,Activity,0,1,[+Durative],[+Dynamic]
剪烛花,Activity,1,0,[+Durative],[+Dynamic]
建成上海的“药谷”和“生物谷”,Transition,0,1,[+Durative],[+Dynamic]
建成新牧区,Transition,0,1,[+Durative],[+Dynamic]
建立,Transition,2,5,[+Durative],[+Dynamic]
建立罕见病大数据库,Transition,0,1,[+Durative],[+Dynamic]
建立和完善,Transition,0,1,[+Durative],[+Dynamic]
建立基地,Transition,1,0,[+Durative],[+Dynamic]
建立金融投资系统,Transition,1,0,[+Durative],[+Dynamic]
建立巨型同步稳相加速器,Transition,1,0,[+Durative],[+Dynamic]
建立联系,Transition,0,1,[+Durative],[+Dynamic]
建立配合美国侵略的战争体制,Transition,0,1,[+Durative],[+Dynamic]
建立新的反对修正主义的党和小组,Transition,1,0,[+Durative],[+Dynamic]
建立新型战略关系,Transition,0,1,[+Durative],[+Dynamic]
建立一个法西斯的中国,Transition,0,1,[+Durative],[+Dynamic]
建立一支庞大的军队,Transition,0,1,[+Durative],[+Dynamic]
建立自己的生物识别系统,Transition,1,0,[+Durative],[+Dynamic]
建设,Activity,0,14,[+Durative],[+Dynamic]
建设“绿色宝库”,Activity,1,0,[+Durative],[+Dynamic]
建设肚会主义,Activity,1,0,[+Durative],[+Dynamic]
建设国家数控机床工程研究中心,Activity,0,2,[+Durative],[+Dynamic]
建设核电站,Activity,0,1,[+Durative],[+Dynamic]
建设科创中心核心承载区和综合性国家科学中心,Activity,0,1,[+Durative],[+Dynamic]
建设露天滑冰场和四季旱雪滑雪场,Activity,0,1,[+Durative],[+Dynamic]
建设全国最大的科学研究机构之一,Activity,0,1,[+Durative],[+Dynamic]
建设热带季风区云降水观测试验基地,Activity,0,1,[+Durative],[+Dynamic]
建设社会主义,Activity,1,2,[+Durative],[+Dynamic]
建设社会主义市场经济,Activity,0,1,[+Durative],[+Dynamic]
建设十几层的新大厦,Activity,0,1,[+Durative],[+Dynamic]
建设世界上第一个千伏直流输电工程,Activity,0,1,[+Durative],[+Dynamic]
建设新的科学考察破冰船,Activity,0,1,[+Durative],[+Dynamic]
建设新生活,Activity,0,1,[+Durative],[+Dynamic]
建设新治病区,Activity,0,1,[+Durative],[+Dynamic]
建设一个繁荣、文明、和谐、宜居的现代化城市,Activity,0,1,[+Durative],[+Dynamic]
建设一个富强的社会主义的中国,Activity,0,1,[+Durative],[+Dynamic]
建设有中国特色社会主义的国家,Activity,0,1,[+Durative],[+Dynamic]
建设智慧城市,Activity,0,1,[+Durative],[+Dynamic]
建筑,Activity,0,2,[+Durative],[+Dynamic]
建筑火柴厂、糖厂、肥皂厂和榨油厂,Activity,0,1,[+Durative],[+Dynamic]
建筑机车库、车站、发电站和水站等,Activity,0,1,[+Durative],[+Dynamic]
建筑线路,Activity,1,0,[+Durative],[+Dynamic]
将财富转移到香港与美帝国主义正在加紧进行控制的华南,Transition,0,1,[+Durative],[+Dynamic]
讲,Activity,13,1,[+Durative],[+Dynamic]
讲《三国演义》,Activity,1,0,[+Durative],[+Dynamic]
讲别人的事,Activity,1,0,[+Durative],[+Dynamic]
讲创造财富和盈利,Activity,1,0,[+Durative],[+Dynamic]
讲粗话,Activity,1,0,[+Durative],[+Dynamic]
讲爹的坏话,Activity,1,0,[+Durative],[+Dynamic]
讲反语,Activity,1,0,[+Durative],[+Dynamic]
讲古,Activity,1,0,[+Durative],[+Dynamic]
讲古代中医的故事,Activity,1,0,[+Durative],[+Dynamic]
讲故事,Activity,2,0,[+Durative],[+Dynamic]
讲关系学,Activity,2,0,[+Durative],[+Dynamic]
讲国耻纪念、二十一条约的意义,Activity,1,0,[+Durative],[+Dynamic]
讲过去的老话,Activity,1,0,[+Durative],[+Dynamic]
讲和谐之道,Activity,1,0,[+Durative],[+Dynamic]
讲话,Activity,39,10,[+Durative],[+Dynamic]
讲谎话,Activity,1,0,[+Durative],[+Dynamic]
讲假话,Activity,1,0,[+Durative],[+Dynamic]
讲价,Activity,1,0,[+Durative],[+Dynamic]
讲价钱,Activity,1,0,[+Durative],[+Dynamic]
讲解给耕牛诊断疫病的方法,Activity,1,0,[+Durative],[+Dynamic]
讲解人生哲学里的乐观主义,Activity,1,0,[+Durative],[+Dynamic]
讲解示范,Activity,1,0,[+Durative],[+Dynamic]
讲究校勘训诂之学,Activity,1,0,[+Durative],[+Dynamic]
讲课,Activity,1,2,[+Durative],[+Dynamic]
讲恋爱,Activity,0,1,[+Durative],[+Dynamic]
讲男女关系,Activity,1,0,[+Durative],[+Dynamic]
讲你,Activity,0,1,[+Durative],[+Dynamic]
讲你行为上如何达到和谐,Activity,1,0,[+Durative],[+Dynamic]
讲你自己,Activity,1,0,[+Durative],[+Dynamic]
讲骗话,Activity,1,0,[+Durative],[+Dynamic]
讲钱,Activity,1,0,[+Durative],[+Dynamic]
讲人间的关系,Activity,1,0,[+Durative],[+Dynamic]
讲如何处理人和人之间的关系,Activity,1,0,[+Durative],[+Dynamic]
讲什么,Activity,3,0,[+Durative],[+Dynamic]
讲什么科学知识,Activity,1,0,[+Durative],[+Dynamic]
讲述和她一起出来打工的一个小姐妹,Activity,1,0,[+Durative],[+Dynamic]
讲述老百姓自己的故事,Activity,1,0,[+Durative],[+Dynamic]
讲述梦中断断续续没头没尾的情景,Activity,1,0,[+Durative],[+Dynamic]
讲述他和世界、和历史的纠葛,Activity,1,0,[+Durative],[+Dynamic]
讲述他认识的一个人卖掉一个肾以后赚了三万多元,Activity,0,1,[+Durative],[+Dynamic]
讲数口,Activity,0,1,[+Durative],[+Dynamic]
讲他怎样向法国人作战事宣传,Activity,1,0,[+Durative],[+Dynamic]
讲她是怎么打你的,Activity,1,0,[+Durative],[+Dynamic]
讲我的坏话,Activity,2,0,[+Durative],[+Dynamic]
讲笑话,Activity,1,0,[+Durative],[+Dynamic]
讲些什么,Activity,1,0,[+Durative],[+Dynamic]
讲一点我也在想的问题,Activity,1,0,[+Durative],[+Dynamic]
讲一个阴阳之道,Activity,1,0,[+Durative],[+Dynamic]
讲一些名品的产地,Activity,1,0,[+Durative],[+Dynamic]
讲阴阳之道,Activity,1,0,[+Durative],[+Dynamic]
讲游击战术,Activity,0,1,[+Durative],[+Dynamic]
讲中国的事情,Activity,1,0,[+Durative],[+Dynamic]
讲中国话,Activity,2,0,[+Durative],[+Dynamic]
讲自己,Activity,1,0,[+Durative],[+Dynamic]
讲自己最要好的朋友,Activity,1,0,[+Durative],[+Dynamic]
讲做人之道,Activity,1,0,[+Durative],[+Dynamic]
讲做生意,Activity,1,0,[+Durative],[+Dynamic]
降,Activity,1,0,[+Durative],[+Dynamic]
降落,Activity,1,1,[+Durative],[+Dynamic]
降温,Activity,0,1,[+Durative],[+Dynamic]
交出亮眼的成绩单,Transition,0,1,[+Durative],[+Dynamic]
交代什么,Activity,1,0,[+Durative],[+Dynamic]
交换充满幻想的密约,Activity,1,0,[+Durative],[+Dynamic]
交换意见,Activity,1,0,[+Durative],[+Dynamic]
交换战事的消息,Activity,1,0,[+Durative],[+Dynamic]
交流,Activity,4,0,[+Durative],[+Dynamic]
交涉,Activity,3,1,[+Durative],[+Dynamic]
交谈,Activity,2,0,[+Durative],[+Dynamic]
浇别人凉水,Activity,1,0,[+Durative],[+Dynamic]
浇棉花,Activity,1,0,[+Durative],[+Dynamic]
浇水,Activity,1,0,[+Durative],[+Dynamic]
搅拌混凝土,Activity,1,0,[+Durative],[+Dynamic]
叫,Activity,50,1,[+Durative],[+Dynamic]
叫：柏青！柏青！,Activity,1,0,[+Durative],[+Dynamic]
叫“救命哪”,Activity,1,0,[+Durative],[+Dynamic]
叫“妈呀！”,Activity,1,0,[+Durative],[+Dynamic]
叫“买开水！”,Activity,1,0,[+Durative],[+Dynamic]
叫“拿酒来！”,Activity,1,0,[+Durative],[+Dynamic]
叫“佩瑶”,Activity,1,0,[+Durative],[+Dynamic]
叫“汪先生”,Activity,1,0,[+Durative],[+Dynamic]
叫“先给我斟！”,Activity,1,0,[+Durative],[+Dynamic]
叫好,Activity,0,1,[+Durative],[+Dynamic]
叫号,Activity,1,0,[+Durative],[+Dynamic]
叫名字,Activity,1,0,[+Durative],[+Dynamic]
叫你,Activity,1,0,[+Durative],[+Dynamic]
叫亲兵们替他在火上烧一只从老百姓家里捉来的老母鸡,Activity,0,1,[+Durative],[+Dynamic]
叫谁,Activity,1,0,[+Durative],[+Dynamic]
叫什么,Activity,1,0,[+Durative],[+Dynamic]
叫什么人,Activity,1,0,[+Durative],[+Dynamic]
叫他,Activity,4,0,[+Durative],[+Dynamic]
叫他的名字,Activity,1,0,[+Durative],[+Dynamic]
叫他的什么亲戚,Activity,1,0,[+Durative],[+Dynamic]
叫他的手下,Activity,1,0,[+Durative],[+Dynamic]
叫他收钱,Activity,1,0,[+Durative],[+Dynamic]
叫她“进来聊聊”,Activity,1,0,[+Durative],[+Dynamic]
叫她把这里再扫一下,Activity,1,0,[+Durative],[+Dynamic]
叫她的名字,Activity,1,0,[+Durative],[+Dynamic]
叫痛,Activity,1,0,[+Durative],[+Dynamic]
叫我,Activity,7,0,[+Durative],[+Dynamic]
叫我的名字,Activity,3,0,[+Durative],[+Dynamic]
叫我们走,Activity,1,0,[+Durative],[+Dynamic]
叫些什么,Activity,1,0,[+Durative],[+Dynamic]
叫自己,Activity,2,0,[+Durative],[+Dynamic]
叫自己的名字,Activity,2,0,[+Durative],[+Dynamic]
教大家站军姿、踢正步,Activity,1,0,[+Durative],[+Dynamic]
教导加林,Activity,1,0,[+Durative],[+Dynamic]
教导我们,Activity,1,0,[+Durative],[+Dynamic]
教俄文,Activity,1,0,[+Durative],[+Dynamic]
教书,Activity,2,1,[+Durative],[+Dynamic]
教唆犯罪,Activity,1,0,[+Durative],[+Dynamic]
教他穿衣服怎样穿,Activity,1,0,[+Durative],[+Dynamic]
教她,Activity,1,0,[+Durative],[+Dynamic]
教她读千字课,Activity,0,1,[+Durative],[+Dynamic]
教我应该怎样去读毛主席的书,Activity,1,0,[+Durative],[+Dynamic]
教训他,Activity,3,0,[+Durative],[+Dynamic]
教一个少女走猫步,Activity,1,0,[+Durative],[+Dynamic]
教育劳动人民,Activity,0,1,[+Durative],[+Dynamic]
教中国艺术家唱苏丹歌,Activity,1,0,[+Durative],[+Dynamic]
接北京来的长途电话,Activity,1,0,[+Durative],[+Dynamic]
接待贵宾,Activity,1,0,[+Durative],[+Dynamic]
接待一个来自香港的青年参访团,Activity,0,1,[+Durative],[+Dynamic]
接电话,Activity,1,0,[+Durative],[+Dynamic]
接革命的班,Transition,1,0,[-Durative],[+Dynamic]
打算些什么,State,1,0,[+Durative],[-Dynamic]
打算占人的便宜,State,1,0,[+Durative],[-Dynamic]
扶秤,State,1,0,[+Durative],[-Dynamic]
跟她,State,1,0,[+Durative],[-Dynamic]
接洽,Activity,0,1,[+Durative],[+Dynamic]
接受安全帽撞击,Activity,0,1,[+Durative],[+Dynamic]
接受改造,Activity,0,1,[+Durative],[+Dynamic]
接受桂花传统的日式服侍,Activity,0,1,[+Durative],[+Dynamic]
接受恐怖的练习,Activity,1,0,[+Durative],[+Dynamic]
接受来自俄国的大批武器供应,Activity,0,1,[+Durative],[+Dynamic]
接受命令能人民解放军,Activity,0,1,[+Durative],[+Dynamic]
接受那轮船所激起挑战的浪花,Activity,1,0,[+Durative],[+Dynamic]
接受手术治疗,Activity,0,1,[+Durative],[+Dynamic]
接受长官的授勋,Activity,1,0,[+Durative],[+Dynamic]
接受指使菲律宾,Activity,1,0,[+Durative],[+Dynamic]
接受治疗、训练,Activity,0,1,[+Durative],[+Dynamic]
揭露自己,Activity,0,1,[+Durative],[+Dynamic]
竭力解决这些问题,Activity,1,0,[+Durative],[+Dynamic]
解放,Transition,1,0,[+Durative],[+Dynamic]
解放出来,Transition,1,0,[+Durative],[+Dynamic]
解决,Activity,1,3,[+Durative],[+Dynamic]
解决大班额问题,Activity,0,1,[+Durative],[+Dynamic]
解决共同的历史任务,Activity,1,0,[+Durative],[+Dynamic]
解决和列入逐步解决规划,Activity,0,1,[+Durative],[+Dynamic]
解决核子技术和采用半导体问题,Activity,0,1,[+Durative],[+Dynamic]
解决建设共产主义的伟大任务,Activity,0,1,[+Durative],[+Dynamic]
解决煤气、交通,Activity,0,1,[+Durative],[+Dynamic]
解决美国经济封锁所造成的问题,Activity,0,1,[+Durative],[+Dynamic]
解决它所面临的任务,Activity,0,1,[+Durative],[+Dynamic]
解开,Transition,0,1,[+Durative],[+Dynamic]
解释,Activity,3,1,[+Durative],[+Dynamic]
解释翻译,Activity,1,0,[+Durative],[+Dynamic]
解他的漂亮西装,Activity,0,1,[+Durative],[+Dynamic]
介绍,Activity,0,2,[+Durative],[+Dynamic]
介绍哪家的姑娘长得最标致,Activity,0,1,[+Durative],[+Dynamic]
介绍撒哈拉沙漠,Activity,1,0,[+Durative],[+Dynamic]
介绍西方的文学与文论,Activity,0,1,[+Durative],[+Dynamic]
介绍中国的经济形势,Activity,1,0,[+Durative],[+Dynamic]
介绍自己的美术作品,Activity,1,0,[+Durative],[+Dynamic]
尽巨大的努力来缓和国际紧张局势,Activity,0,1,[+Durative],[+Dynamic]
尽孝,Activity,1,0,[+Durative],[+Dynamic]
尽一切努力争取从苏联获得宝贵和有效的重大援助,Activity,0,1,[+Durative],[+Dynamic]
尽自己国际主义的责任,Activity,1,0,[+Durative],[+Dynamic]
尽最大努力带领当地群众抗灾救灾,Activity,1,0,[+Durative],[+Dynamic]
进攻,Activity,5,0,[+Durative],[+Dynamic]
进攻我们,Activity,1,0,[+Durative],[+Dynamic]
进攻新加坡,Activity,1,0,[+Durative],[+Dynamic]
进新学堂,Transition,1,0,[-Durative],[+Dynamic]
进行,Activity,43,94,[+Durative],[+Dynamic]
进行“非常危险的赌博”,Activity,1,0,[+Durative],[+Dynamic]
进行“强攻山头”的演习,Activity,1,0,[+Durative],[+Dynamic]
进行“扫荡”,Activity,0,1,[+Durative],[+Dynamic]
进行“退二进三”（退出第二产业，进入第三产业）的城市战略转型,Activity,1,0,[+Durative],[+Dynamic]
进行“应急准备”,Activity,1,0,[+Durative],[+Dynamic]
进行爱国主义歌咏比赛,Activity,0,1,[+Durative],[+Dynamic]
进行比赛或练球,Activity,1,0,[+Durative],[+Dynamic]
进行播种育秧,Activity,0,1,[+Durative],[+Dynamic]
进行搏斗,Activity,1,1,[+Durative],[+Dynamic]
进行裁决,Activity,1,0,[+Durative],[+Dynamic]
进行残酷的进攻,Activity,0,1,[+Durative],[+Dynamic]
进行操作,Activity,1,0,[+Durative],[+Dynamic]
进行猖狂的活动,Activity,1,0,[+Durative],[+Dynamic]
进行猖狂的武装侵略和阴谋颠覆活动,Activity,0,1,[+Durative],[+Dynamic]
进行城市化,Activity,0,1,[+Durative],[+Dynamic]
进行筹备,Activity,0,1,[+Durative],[+Dynamic]
进行筹备工作,Activity,0,1,[+Durative],[+Dynamic]
进行除雪作业,Activity,1,0,[+Durative],[+Dynamic]
进行创新,Activity,2,0,[+Durative],[+Dynamic]
进行春耕准备工作,Activity,0,1,[+Durative],[+Dynamic]
进行错综复杂的重新组合,Activity,0,1,[+Durative],[+Dynamic]
进行打扫工作,Activity,1,0,[+Durative],[+Dynamic]
进行大逮捕,Activity,1,0,[+Durative],[+Dynamic]
进行大规模建设,Activity,0,1,[+Durative],[+Dynamic]
进行大战,Activity,1,0,[+Durative],[+Dynamic]
进行稻谷脱粒,Activity,1,0,[+Durative],[+Dynamic]
进行地下核试验,Activity,1,0,[+Durative],[+Dynamic]
进行第二期资金募集,Activity,0,1,[+Durative],[+Dynamic]
进行第三届世界互联网大会新媒体发展论坛,Activity,0,1,[+Durative],[+Dynamic]
进行颠覆活动,Activity,1,0,[+Durative],[+Dynamic]
进行调查,Activity,0,1,[+Durative],[+Dynamic]
进行调研,Activity,0,1,[+Durative],[+Dynamic]
进行调整,Activity,1,1,[+Durative],[+Dynamic]
进行调整商业网和零售点的工作,Activity,1,0,[+Durative],[+Dynamic]
进行斗争,Activity,0,4,[+Durative],[+Dynamic]
进行对焦微调,Activity,1,0,[+Durative],[+Dynamic]
进行反帝的斗争,Activity,1,0,[+Durative],[+Dynamic]
进行反帝抗议运动,Activity,1,0,[+Durative],[+Dynamic]
进行反法宣传,Activity,1,0,[+Durative],[+Dynamic]
进行反击,Activity,1,0,[+Durative],[+Dynamic]
进行防旱抗旱,Activity,0,1,[+Durative],[+Dynamic]
进行分果实,Activity,0,1,[+Durative],[+Dynamic]
进行疯狂的扫荡,Activity,1,0,[+Durative],[+Dynamic]
进行复查工作,Activity,0,1,[+Durative],[+Dynamic]
进行复校建校工作,Activity,0,1,[+Durative],[+Dynamic]
进行复员,Activity,0,1,[+Durative],[+Dynamic]
进行改革,Activity,0,1,[+Durative],[+Dynamic]
进行改良以期培养出新品种,Activity,0,1,[+Durative],[+Dynamic]
进行改造,Activity,1,0,[+Durative],[+Dynamic]
进行革命斗争,Activity,1,0,[+Durative],[+Dynamic]
进行革新开放,Activity,0,1,[+Durative],[+Dynamic]
进行更加先进的无线电数码传递试验,Activity,1,0,[+Durative],[+Dynamic]
进行拱顶施工,Activity,0,1,[+Durative],[+Dynamic]
进行关于引进技术的谈判,Activity,0,1,[+Durative],[+Dynamic]
进行观测和研究,Activity,0,1,[+Durative],[+Dynamic]
进行光子计算机研究,Activity,0,1,[+Durative],[+Dynamic]
进行广泛的活动,Activity,0,1,[+Durative],[+Dynamic]
进行合作,Activity,0,1,[+Durative],[+Dynamic]
进行和平建设,Activity,0,1,[+Durative],[+Dynamic]
进行核查,Activity,0,1,[+Durative],[+Dynamic]
进行化学和细菌战争准备,Activity,1,0,[+Durative],[+Dynamic]
进行划车比赛,Activity,0,1,[+Durative],[+Dynamic]
进行恢复改建,Activity,0,1,[+Durative],[+Dynamic]
进行恢复训练,Activity,0,1,[+Durative],[+Dynamic]
